14:53:56,606 | INFO  | l Console Thread | ultOsgiApplicationContextCreator | 210 - org.springframework.osgi.extender - 1.2.1 | Discovered configurations {osgibundle:/META-INF/spring/*.xml} in bundle [Fuse Kafka Producer Example (FuseCamelKafkaProducerSpringDSL)]
14:55:11,157 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-1313, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1490, kafka.TOPIC=topic1}
14:55:11,157 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:55:11,157 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-1313, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1490, kafka.TOPIC=topic1}
14:55:11,157 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-1313, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1490, kafka.TOPIC=topic1}
14:55:11,158 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:55:11,158 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-1315, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1491, kafka.TOPIC=topic1}
14:55:11,158 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:55:11,158 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-1315, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1491, kafka.TOPIC=topic1}
14:55:11,158 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-1315, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1491, kafka.TOPIC=topic1}
14:55:11,159 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:55:11,159 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-1317, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1492, kafka.TOPIC=topic1}
14:55:11,159 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:55:11,159 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-1317, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1492, kafka.TOPIC=topic1}
14:55:11,160 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-1317, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1492, kafka.TOPIC=topic1}
14:55:11,160 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:55:11,160 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-1319, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1493, kafka.TOPIC=topic1}
14:55:11,161 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:55:11,161 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-1319, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1493, kafka.TOPIC=topic1}
14:55:11,161 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-1319, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1493, kafka.TOPIC=topic1}
14:55:11,658 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:55:11,658 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-1321, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1494, kafka.TOPIC=topic1}
14:55:11,658 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:55:11,658 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-1321, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1494, kafka.TOPIC=topic1}
14:55:11,658 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-1321, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1494, kafka.TOPIC=topic1}
14:55:11,659 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:55:11,659 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-1323, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1495, kafka.TOPIC=topic1}
14:55:11,659 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:55:11,659 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-1323, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1495, kafka.TOPIC=topic1}
14:55:11,659 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-1323, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1495, kafka.TOPIC=topic1}
14:55:11,660 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:55:11,660 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-1325, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1496, kafka.TOPIC=topic1}
14:55:11,661 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:55:11,661 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-1325, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1496, kafka.TOPIC=topic1}
14:55:11,661 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-1325, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1496, kafka.TOPIC=topic1}
14:55:11,662 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:55:11,662 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-1327, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1497, kafka.TOPIC=topic1}
14:55:11,662 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:55:11,662 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-1327, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1497, kafka.TOPIC=topic1}
14:55:11,662 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-1327, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1497, kafka.TOPIC=topic1}
14:55:11,663 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:55:11,663 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-1329, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1498, kafka.TOPIC=topic1}
14:55:11,663 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:55:11,663 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-1329, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1498, kafka.TOPIC=topic1}
14:55:11,663 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-1329, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1498, kafka.TOPIC=topic1}
14:55:12,160 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:55:12,160 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-1331, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1499, kafka.TOPIC=topic1}
14:55:12,160 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:55:12,160 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-1331, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1499, kafka.TOPIC=topic1}
14:55:12,161 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-1331, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1499, kafka.TOPIC=topic1}
14:55:12,162 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:55:12,162 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-1333, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1500, kafka.TOPIC=topic1}
14:55:12,162 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:55:12,162 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-1333, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1500, kafka.TOPIC=topic1}
14:55:12,162 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-1333, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1500, kafka.TOPIC=topic1}
14:55:12,163 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:55:12,163 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-1335, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1501, kafka.TOPIC=topic1}
14:55:12,163 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:55:12,163 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-1335, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1501, kafka.TOPIC=topic1}
14:55:12,163 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-1335, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1501, kafka.TOPIC=topic1}
14:55:12,164 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:55:12,164 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-1337, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1502, kafka.TOPIC=topic1}
14:55:12,164 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:55:12,164 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-1337, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1502, kafka.TOPIC=topic1}
14:55:12,164 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-1337, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1502, kafka.TOPIC=topic1}
14:55:12,165 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:55:12,165 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-1339, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1503, kafka.TOPIC=topic1}
14:55:12,165 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:55:12,165 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-1339, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1503, kafka.TOPIC=topic1}
14:55:12,165 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-1339, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1503, kafka.TOPIC=topic1}
14:55:12,662 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:55:12,662 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-1341, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1504, kafka.TOPIC=topic1}
14:55:12,662 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:55:12,662 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-1341, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1504, kafka.TOPIC=topic1}
14:55:12,663 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-1341, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1504, kafka.TOPIC=topic1}
14:55:12,664 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:55:12,664 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-1343, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1505, kafka.TOPIC=topic1}
14:55:12,664 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:55:12,664 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-1343, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1505, kafka.TOPIC=topic1}
14:55:12,664 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-1343, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1505, kafka.TOPIC=topic1}
14:55:12,665 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:55:12,665 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-1345, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1506, kafka.TOPIC=topic1}
14:55:12,665 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:55:12,665 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-1345, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1506, kafka.TOPIC=topic1}
14:55:12,665 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-1345, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1506, kafka.TOPIC=topic1}
14:55:12,666 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:55:12,666 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-1347, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1507, kafka.TOPIC=topic1}
14:55:12,666 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:55:12,666 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-1347, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1507, kafka.TOPIC=topic1}
14:55:12,666 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-1347, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1507, kafka.TOPIC=topic1}
14:55:12,667 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:55:12,667 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-1349, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1508, kafka.TOPIC=topic1}
14:55:12,667 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:55:12,667 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-1349, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1508, kafka.TOPIC=topic1}
14:55:12,667 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-1349, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1508, kafka.TOPIC=topic1}
14:55:13,166 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:55:13,167 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-1351, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1509, kafka.TOPIC=topic1}
14:55:13,167 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:55:13,167 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-1351, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1509, kafka.TOPIC=topic1}
14:55:13,167 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-1351, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1509, kafka.TOPIC=topic1}
14:55:13,168 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:55:13,168 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-1353, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1510, kafka.TOPIC=topic1}
